Прокофьев Сергей Сергеевич;Prokofiev Sergey Sergeevich;23.04.1891
Стравинский Игорь Федорович;Stravinsky Igor Fedeorovich;17.06.1882
Рахманинов Сергей Васильевич;Rachmaninov Sergei Vasilievich;01.04.1873
Шостакович Дмитрий Дмитриевич;Shostakovich Dmitry Dmitrievich;25.09.1906
Чайковский Петр Ильич;Tchaikovsky Pyotr Ilyich;07.05.1840
Глинка Михаил Иванович;Glinka Mikhail Ivanovich;01.06.1804
Мусоргский Модест Петрович;Mussorgsky Modest Petrovich;21.03.1839
Скрябин Александр Николаевич;Skryabin Alexander Nikolaevich;06.01.1872
Римский-Корсаков Николай Андреевич;Rimsky-Korsakov Nikolay Andreevich;18.03.1844
Бородин Александр Парфирьевич;Borodin Alexander Parfiryevich;12.11.1833
Грибоедов Александр Сергеевич;Griboyedov Alexander Sergeevich;15.01.1795
Глазунов Александр Константинович;Glazunov Alexander Konstantinovich;10.08.1865
Таривердиев Микаэл Леонович;Tariverdiev Mikael Leonovich;15.08.1931
Дунаевский Исаак Осипович;Dunaevsky Isaak Osipovich;30.01.1900
Драгомыжский Александр Сергеевич;Dragomyzhsky Alexander Sergeevich;14.02.1813
Щедрин Радион Константинович;Shchedrin Radion Konstantinovich;16.12.1932
Шнитке Альфред Гарриевич;Schnittke Alfred Garrievich;24.11.1934
Лядов Анатолий Константинович;Lyadov Anatoly Konstantinovich;11.05.1855
Рубинштейн Григорьевич Рубинштейн;Rubinshtein Grigorievich Rubinshtein;28.11.1829
Бортянский Степан Дмитриевич;Bortyansky Stepan Dmitrievich;28.10.1751
Кабалевский Дмитрий Борисович;Kabalevsky Dmitry Borisovich;30.12.1904
Свиридов Георгий Васильевич;Sviridov Georgy Vasilyevich;16.12.1915
Танеев Сергей Иванович;Taneev Sergey Ivanovich;25.11.1856
Пахмутова Александра Николаевна;Pakhmutova Alexandra Nikolaevna;09.11.1929
Зацепин Александр Сергеевич;Zatsepin Alexander Sergeevich;10.03.1926
Крылатов Евгений Павлович;Krylatov Evgeny Pavlovich;23.02.1934
Дунаевский Максим Исаакович;Dunaevsky Maxim Isaakovich;15.01.1945
Рыбников Алексей Львович;Rybnikov Alexey Lvovich;17.07.1945
Артемьев Эдуард Николаевич;Artemiev Eduard Nikolaevich;30.11.1937
Шаинский Владимир Яковлевич;Shainsky Vladimir Yakovlevich;12.12.1925
Дога Евгений Дмитриевич;Doga Evgeny Dmitrievich;01.03.1937
Тухманов Давид Федорович;Tukhmanov David Fedorovich;20.07.1940
Дербенев Леонид Петрович;Derbenev Leonid Petrovich;12.04.1931
Резник Илья Рахмиелевич;Reznik Ilya Rakhmielevich;04.04.1938
Мартынов Владимир Иванович;Martynov Vladimir Ivanovich;20.02.1946
Добронравов Николай Николаевич;Dobronravov Nikolai Nikolaevich;22.11.1928
Соловьев-Седой Василий Павлович;Solovyov-Sedoy Vasily Pavlovich;25.04.1907
