Великий пожар Лондона;Great Fire of London;02.09.1666;событие;event
Начало Великой французской революции;Start of the French Revolution;14.07.1789;событие;event
Принятие Декларации независимости США;Adoption of the U.S. Declaration of Independence;04.07.1776;событие;event
Великая чума в Лондоне;Great Plague of London;01.01.1665;событие;event
Битва при Ватерлоо;Battle of Waterloo;18.06.1815;событие;event
Восстание декабристов;Decembrist Revolt;14.12.1825;событие;event
Убийство Авраама Линкольна;Assassination of Abraham Lincoln;15.04.1865;событие;event
Открытие пенициллина;Discovery of Penicillin;28.09.1928;событие;event
Варшавское гетто восстание;Warsaw Ghetto Uprising;19.04.1943;событие;event
Начало Второй мировой войны;Start of World War II;01.09.1939;событие;event
Открытие радиоактивности;Discovery of Radioactivity;01.03.1896;событие;event
Великая депрессия;The Great Depression;29.10.1929;событие;event
Взятие Бастилии;Storming of the Bastille;14.07.1789;событие;event
Начало Индустриальной революции;Start of the Industrial Revolution;01.01.1760;событие;event
Начало Первой мировой войны;Start of World War I;28.07.1914;событие;event
Битва за Британию;Battle of Britain;10.07.1940;событие;event
Подписание Версальского договора;Signing of the Treaty of Versailles;28.06.1919;событие;event
Атомная бомбардировка Хиросимы;Atomic Bombing of Hiroshima;06.08.1945;событие;event
Начало Холодной войны;Start of the Cold War;01.01.1947;событие;event
Полёт Юрия Гагарина;Yuri Gagarin's Flight;12.04.1961;событие;event
Высадка на Луну;Moon Landing;20.07.1969;событие;event
Начало Гражданской войны в США;Start of the American Civil War;12.04.1861;событие;event
Битва при Трафальгаре;Battle of Trafalgar;21.10.1805;событие;event
Смерть Наполеона;Death of Napoleon;05.05.1821;событие;event
Открытие Антарктиды;Discovery of Antarctica;28.01.1820;событие;event
Открытие Тасмании;Discovery of Tasmania;24.11.1642;событие;event
Первая публикация теории относительности Эйнштейна;First Publication of Einstein's Theory of Relativity;30.06.1905;событие;event
Начало Тридцатилетней войны;Start of the Thirty Years' War;23.05.1618;событие;event
Сражение при Лейпциге;Battle of Leipzig;16.10.1813;событие;event
Образование Королевства Великобритания;Formation of the Kingdom of Great Britain;01.05.1707;событие;event
Битва при Аустерлице;Battle of Austerlitz;02.12.1805;событие;event
Начало Американской революции;Start of the American Revolution;19.04.1775;событие;event
Подписание Билля о правах США;Signing of the U.S. Bill of Rights;15.12.1791;событие;event
Смерть королевы Елизаветы I;Death of Queen Elizabeth I;24.03.1603;событие;event
Открытие Кейптауна;Founding of Cape Town;06.04.1652;событие;event
Казнь короля Карла I;Execution of King Charles I;30.01.1649;событие;event
Открытие Австралии Джеймсом Куком;Discovery of Australia by James Cook;29.04.1770;событие;event
Начало Семилетней войны;Start of the Seven Years' War;29.08.1756;событие;event
Основание Сиднея;Founding of Sydney;26.01.1788;событие;event
Линчевание Царя Николая II и его семьи;Execution of Tsar Nicholas II and his family;17.07.1918;событие;event
Подписание Мюнхенского соглашения;Signing of the Munich Agreement;30.09.1938;событие;event
Первая битва при Бул-Ране;First Battle of Bull Run;21.07.1861;событие;event
Провозглашение Германской империи;Proclamation of the German Empire;18.01.1871;событие;event
Освобождение Парижа;Liberation of Paris;25.08.1944;событие;event
Начало Русско-турецкой войны;Start of the Russo-Turkish War;24.04.1877;событие;event
Введение Григорианского календаря;Introduction of the Gregorian Calendar;15.10.1582;событие;event
Обнаружение Трои Генрихом Шлиманом;Discovery of Troy by Heinrich Schliemann;09.10.1871;событие;event
Начало революции 1848 года во Франции;Start of the 1848 Revolution in France;22.02.1848;событие;event
Провозглашение Первой Французской республики;Proclamation of the First French Republic;21.09.1792;событие;event
Начало Войны за испанское наследство;Start of the War of Spanish Succession;01.11.1701;событие;event
Начало правления Петра Великого;Start of Peter the Great's Reign;07.05.1682;событие;event
Основание Ямайки;Founding of Jamaica;10.05.1655;событие;event
Открытие Новой Зеландии;Discovery of New Zealand;13.12.1642;событие;event
Начало колонизации Америки;Start of Colonization of America;14.05.1607;событие;event
Первый полёт братьев Райт;First Flight by the Wright Brothers;17.12.1903;событие;event
